icd_code,ais_code,prob
D172.8,140638,8.4622e-05
D172.9,640408,0.00106097
D173.20,853151,6.34661e-06
D173.31,720608,0.000341937
D173.32,720608,0.000341929
D173.41,752451,0.000256329
D173.51,752600,8.62074e-05
D173.52,751100,4.76554e-05
D173.61,853151,6.23217e-06
D173.72,650430,4.29051e-05
D173.82,853161,7.62387e-06
D173.89,251002,4.68781e-05
D173.90,752372,0.000650333
D173.91,251201,0.00017391
D173.92,810602,3.05551e-05
D173.99,140652,2.28798e-05
D174.8,750731,0.000140889
D174.9,545410,0.0133748
D175.9,853151,6.12134e-06
D176.9,110600,1.42209e-05
D179,161006,0.000197184
D180.9,853151,1.92009e-05
D182.0,857300,7.73523e-05
D183.0,321008,0.00310083
D184.4,854551,0.000628629
D185,540622,0.00253646
D188.4,853221,2.28322e-05
D188.8,240499,0.00017624
D188.9,751372,0.000638033
D189.0,840099,0.000825699
D191.0,210602,7.88744e-06
D191.1,210402,1.57515e-05
D191.2,140693,1.61822e-05
D191.4,450202,1.88372e-05
D191.8,140693,1.62152e-05
D191.9,870420,0.00255241
D192.1,110202,5.72084e-05
D194.0,853161,7.38076e-06
D195.0,853161,7.67899e-06
D195.1,100099,2.08576e-05
D195.8,140654,7.69172e-05
D196.0,752400,9.29699e-05
D196.1,140604,0.000134262
D196.2,544299,0.00041726
D196.3,140604,0.000134262
D196.5,856100,1.78139e-05
D196.6,853151,6.4116e-06
D196.8,853151,6.41593e-06
D196.9,161005,0.000451717
D197.0,421499,0.00278335
D197.1,320899,0.00255235
D197.2,140604,0.000134262
D197.3,140605,0.00033539
D197.6,544210,0.000422649
D197.7,545410,0.0133748
D197.8,544210,0.000422649
D198.0,140624,0.000744441
D198.1,853221,2.28613e-05
D198.2,854455,3.36817e-05
D198.3,540226,0.00527926
D198.4,140604,0.000134262
D198.5,545410,0.0133748
D198.6,140629,5.56034e-05
D198.7,540226,0.00527925
D198.81,853161,7.60914e-06
D198.82,912000,7.08209e-05
D198.89,751800,0.000710265
D199.0,650430,4.29125e-05
D199.1,858121,0.000176203
D199.2,140606,0.000129298
D200.20,250400,9.66536e-05
D200.40,854456,0.000126184
D200.50,140612,0.000478708
D200.62,650432,3.52322e-05
D200.70,150404,7.90439e-05
D200.8,771010,0.000205244
D200.80,140662,0.000699386
D201.9,650216,2.72984e-05
D201.90,541614,0.00119609
D201.93,857200,0.000122516
D202.00,854171,2.05624e-05
D202.08,140647,0.000498667
D202.1,140629,5.5609e-05
D202.10,912012,5.17329e-05
D202.12,650234,0.000343454
D202.30,650616,4.15592e-05
D202.70,140694,2.22758e-05
D202.8,310402,0.000240038
D202.80,752373,0.00135956
D202.82,140650,1.31975e-05
D202.83,140651,2.6371e-05
D202.84,640224,0.000192859
D202.88,854222,5.3101e-05
D203.0,854471,2.98298e-05
D203.00,630499,0.0229931
D203.01,854221,7.54819e-05
D203.80,250607,0.00010404
D204.00,250400,9.68155e-05
D204.1,772499,0.000483777
D204.10,830599,0.0022116
D204.11,752364,0.00272106
D204.12,441499,0.000841761
D204.90,650228,4.17753e-05
D204.91,853151,6.26524e-06
D205.00,140654,7.79762e-05
D205.01,854456,0.000128131
D205.10,854466,0.000168663
D207.80,710402,2.87233e-05
D208.1,650216,2.74258e-05
D208.90,251402,0.00079967
D208.91,752800,5.96487e-05
D209.20,542026,0.000774907
D209.21,650224,0.000103783
D209.34,856100,1.78139e-05
D209.43,516002,6.38456e-05
D209.61,854352,0.000318575
D209.71,542026,0.000774907
D209.72,650224,0.000103783
D209.79,650224,0.000103776
D210.0,854551,0.000629104
D210.2,250800,3.12371e-05
D211.1,251222,0.00111417
D211.3,650426,0.000943615
D211.4,650426,0.000943615
D211.7,854461,0.00017625
D211.8,442200,2.22365e-05
D212.7,140693,1.60831e-05
D213.0,140638,8.4951e-05
D213.4,771010,0.000203719
D213.5,750651,0.00041819
D213.7,840300,0.000189802
D213.8,857300,7.74411e-05
D213.9,140299,0.00146331
D214.1,716018,0.000530621
D214.3,721002,0.00246025
D214.8,450299,0.00212993
D214.9,853161,7.3467e-06
D215.2,210600,1.22237e-05
D215.3,910000,0.000314787
D216.4,854456,0.000127981
D216.5,251211,0.000827157
D216.6,210402,1.56934e-05
D218.0,853221,2.18843e-05
D218.9,545299,0.00975778
D220,140639,0.000186555
D222.0,541622,0.000392499
D222.2,450209,0.000144271
D223.0,544299,0.000416957
D225.0,810604,9.60993e-05
D225.1,750500,3.75474e-05
D225.2,240204,0.000791356
D227.0,140407,0.00274753
D227.1,877132,0.00111316
D227.3,752111,0.000711375
D227.4,752371,0.000169792
D228.00,140416,0.00239475
D228.01,854000,4.62478e-05
D228.02,140613,0.00159915
D228.04,140631,0.000570268
D228.09,340102,0.00522194
D228.1,140688,0.000567516
D229.8,854111,7.85092e-05
D229.9,853161,1.53208e-05
D230.3,877134,0.00115013
D231.2,251201,0.000173781
D233.0,251201,0.000173573
D233.4,140650,2.64628e-05
D234.9,650204,0.000173661
D235.3,544424,0.000245089
D235.4,541010,0.000956279
D235.6,856161,5.39967e-05
D235.7,544424,0.000245168
D236.5,441450,0.00115415
D236.7,540699,0.000553357
D237.0,240416,0.000267185
D237.2,321002,0.000693278
D237.3,640208,0.000342204
D237.4,110009,5.19007e-05
D237.5,650634,4.69846e-05
D237.7,140650,1.2457e-05
D237.70,650622,0.000776566
D237.71,712000,0.00108958
D237.72,751171,5.30601e-05
D238.0,140606,0.000129198
D238.1,240604,0.00101687
D238.3,544424,0.000245168
D238.4,877132,0.00111319
D238.5,856161,5.37839e-05
D238.71,640664,0.00538574
D238.72,853221,2.28716e-05
D238.75,240604,0.00101671
D238.76,250806,0.000165333
D238.79,240604,0.00101659
D238.8,544424,0.000245106
D239.0,321006,0.00157221
D239.1,150000,0.000142871
D239.2,243400,0.00027657
D239.3,854500,5.76763e-05
D239.4,751101,7.47251e-05
D239.6,750731,0.000140874
D239.7,812000,0.000380079
D239.89,140651,2.62353e-05
D240.0,140693,1.58399e-05
D240.9,650626,0.000940731
D241.0,130602,0.00352496
D241.1,240800,0.0140094
D241.9,320206,0.00139338
D242.0,161003,6.05829e-05
D242.00,240502,0.00572157
D242.10,650434,6.47494e-05
D242.20,410202,7.38148e-05
D242.40,750500,4.08939e-05
D242.80,857200,0.000122313
D242.9,853171,4.69221e-05
D242.90,240699,0.00511516
D242.91,853221,2.29511e-05
D243,874020,0.000540778
D244.0,540222,0.00381602
D244.1,750761,0.00216992
D244.3,840405,0.000342378
D244.8,640240,0.00574718
D244.9,630499,0.0225128
D245.2,820606,0.00183299
D245.9,853161,7.56976e-06
D246.2,640232,0.000851152
D246.3,441004,0.000739123
D246.8,877732,0.00131744
D246.9,110806,0.00287186
D249.00,870420,0.00253793
D249.01,640210,0.000184598
D249.10,650620,2.5895e-05
D249.60,450200,3.72727e-05
D250.0,320699,0.00427203
D250.00,132299,0.0297415
D250.01,321021,0.0153745
D250.02,441089,0.00599337
D250.03,441450,0.00115415
D250.1,751100,4.74876e-05
D250.10,650417,0.000258591
D250.11,240602,0.000512669
D250.12,140474,0.00405408
D250.13,543222,0.00315185
D250.22,140639,0.000186589
D250.23,853151,5.51061e-06
D250.30,810099,0.000884578
D250.32,140210,0.00027773
D250.33,10010,0.00490055
D250.4,752801,6.65489e-05
D250.40,320206,0.00139338
D250.41,419200,0.000363545
D250.42,240599,0.0104876
D250.43,857300,7.7361e-05
D250.5,140650,1.30522e-05
D250.50,516004,0.00070076
D250.51,730699,0.00105444
D250.52,543210,0.00154574
D250.53,854221,7.54435e-05
D250.6,856161,5.39809e-05
D250.60,630216,0.0154866
D250.61,730699,0.00105439
D250.62,240599,0.0104876
D250.63,630212,0.00242867
D250.7,873010,0.000418026
D250.70,650402,0.0053735
D250.71,854171,2.05072e-05
D250.72,858273,0.00396825
D250.8,650416,9.36877e-05
D250.80,650402,0.00537618
D250.81,752500,0.000268231
D250.82,240604,0.00101641
D250.83,140605,0.000335321
D250.90,710600,2.41969e-05
D250.92,752600,0.000168194
D250.93,110600,1.43918e-05
D251.1,640210,0.00018326
D251.2,320213,0.00773244
D251.3,854001,8.0478e-05
D251.5,140672,0.000374529
D252.00,542024,0.000377017
D252.01,854172,8.01951e-05
D252.1,250603,0.000139717
D252.9,140654,7.80326e-05
D253.2,140675,0.000163931
D253.3,210800,0.000352741
D253.4,854221,7.55684e-05
D253.5,121606,0.0104327
D253.6,320406,0.00696047
D253.7,650616,4.16104e-05
D253.8,521299,0.00164204
D253.9,140799,0.0105321
D254.1,853161,7.6891e-06
D255.0,650416,4.67981e-05
D255.10,853371,0.000529795
D255.12,730299,0.00092869
D255.41,630206,0.0149024
D255.5,812003,0.00396142
D255.8,520204,0.00328083
D255.9,752374,0.00247701
D256.4,410602,0.000163176
D257.2,858211,0.000562406
D258.01,853221,2.28169e-05
D258.1,541820,0.000162101
D258.9,820202,0.00181031
D259.2,853221,2.27278e-05
D259.8,853251,6.79878e-05
D259.9,510402,4.3233e-05
D261,440102,0.0136513
D262,420404,0.0086976
D263.0,630226,0.00941874
D263.1,320410,0.0190122
D263.8,122899,0.00343381
D263.9,630206,0.0149016
D264.9,650234,0.000343515
D265.1,132299,0.0316704
D266.1,857371,0.000491812
D266.2,877235,0.00810238
D266.9,751331,0.000193547
D267,140639,0.000186599
D268.0,856171,0.000243097
D268.2,853221,2.29844e-05
D268.9,630216,0.0154781
D269.0,640212,0.000186274
D269.1,450804,3.32652e-05
D269.2,250603,0.000139772
D269.3,340102,0.0052218
D269.9,130899,0.00518815
D270.0,753201,0.000112597
D270.2,161003,6.06786e-05
D270.4,140648,0.000180109
D270.6,700099,0.000449752
D270.7,854171,1.99007e-05
D271.3,752361,6.63379e-05
D272.0,132299,0.0312941
D272.1,857271,0.000918182
D272.2,441699,0.000860194
D272.4,878151,0.0192782
D272.5,650630,4.14926e-05
D272.7,873020,0.000216219
D272.8,441699,0.000860216
D272.9,853001,0.000172987
D273.1,140466,0.000162723
D273.2,710602,2.13784e-05
D273.3,640418,0.00111134
D273.4,750671,0.00014247
D273.8,340106,0.00296162
D273.9,853171,4.69877e-05
D274.00,858111,0.000874336
D274.01,830604,0.00377634
D274.02,650226,0.000123218
D274.03,752451,0.000256476
D274.1,751100,4.7761e-05
D274.10,752451,0.000256479
D274.11,770710,0.000854788
D274.8,910600,3.05375e-05
D274.9,878151,0.0196912
D275.03,650604,0.00085217
D275.09,240604,0.0010169
D275.1,630299,0.000800393
D275.2,750662,0.0199473
D275.3,915006,0.0159066
D275.4,140629,4.56619e-05
D275.40,140611,0.000589244
D275.41,240599,0.0207843
D275.42,640446,0.00257664
D275.49,752000,0.000551652
D275.8,544422,0.000961029
D275.9,441432,0.000231819
D276.0,140618,0.0147806
D276.1,630666,0.0281898
D276.2,120802,0.0354803
D276.3,420404,0.00869752
D276.4,340299,0.00523851
D276.50,712006,0.00484057
D276.51,10010,0.0048865
D276.52,420602,0.00966901
D276.61,751111,0.000126714
D276.69,630614,0.0180434
D276.7,140618,0.0110055
D276.8,120802,0.0341906
D276.9,630614,0.0180431
D277.00,416004,0.00101814
D277.02,650624,0.000570244
D277.1,750900,6.10369e-05
D277.30,753201,0.000112802
D277.39,870499,0.00607665
D277.4,877799,0.0152853
D277.7,250612,0.00202536
D277.87,100099,2.11213e-05
D277.9,250400,9.64015e-05
D278.0,870420,0.0024787
D278.00,131404,0.0169307
D278.01,120402,0.018084
D278.02,320412,0.0176271
D278.03,877132,0.00222564
D278.1,877120,0.000322498
D278.8,751162,0.00415105
D279.00,853161,7.59933e-06
D279.01,450203,6.45251e-06
D279.03,140651,2.46905e-05
D279.06,853151,6.3587e-06
D279.11,250603,0.000139742
D279.2,856101,7.92856e-05
D279.3,771010,0.000205038
D279.49,750501,0.00176992
D279.9,874089,0.000324415
D280.0,877799,0.0152853
D280.8,853151,1.27622e-05
D280.9,440102,0.0136428
D281.0,541812,0.000491424
D281.1,752161,0.000153493
D281.2,812004,0.000495596
D281.3,210600,1.21678e-05
D281.9,140470,0.0124545
D282.0,140611,0.000589207
D282.2,650632,3.60625e-05
D282.3,650604,0.00085287
D282.40,542812,0.00109721
D282.44,140604,0.000133787
D282.46,878189,0.00849097
D282.49,854465,3.20314e-05
D282.5,240699,0.00511524
D282.60,730499,0.000664736
D282.61,856172,0.000414303
D282.62,854171,2.05125e-05
D282.68,752801,6.65275e-05
D282.7,857351,0.000653923
D283.0,650212,0.000972794
D283.19,853151,6.39697e-06
D283.9,856272,0.00462911
D284.11,320202,0.000793084
D284.19,140618,0.00369618
D284.9,772033,0.00161816
D285.0,853221,2.30837e-05
D285.1,122004,0.0353453
D285.21,340102,0.00522171
D285.22,310202,0.000375573
D285.29,858273,0.0039685
D285.3,320202,0.000793083
D285.8,750622,0.00358415
D285.9,878151,0.0187858
D286.0,770520,0.00231012
D286.1,772489,0.00112341
D286.2,450213,0.000101401
D286.3,442608,0.00416493
D286.4,442608,0.00416492
D286.53,131899,0.0089697
D286.59,110009,5.15656e-05
D286.6,830604,0.00377636
D286.7,140214,0.0137507
D286.9,640642,0.0205091
D287.0,650432,3.45445e-05
D287.1,140622,0.000560025
D287.2,853161,7.64653e-06
D287.30,140446,0.000364662
D287.31,543222,0.00315206
D287.33,853271,4.42091e-05
D287.39,750900,6.14574e-05
D287.49,320410,0.0190122
D287.5,640642,0.0205059
D287.8,140474,0.00405409
D287.9,544240,0.000365155
D288.00,410802,0.0073848
D288.02,540820,0.000219159
D288.03,912030,0.000100162
D288.1,856101,7.93122e-05
D288.3,853362,0.000242882
D288.50,870410,0.00186461
D288.60,640642,0.0205028
D288.61,210202,2.08237e-05
D288.62,140299,0.00146331
D288.63,752573,0.0013356
D288.66,516004,0.000700668
D288.69,912006,1.95399e-05
D288.8,341402,0.00692861
D289.0,915006,0.0160674
D289.1,752600,8.6292e-05
D289.3,442208,0.000321356
D289.4,544299,0.000417239
D289.50,821202,0.00197271
D289.51,772032,0.000421324
D289.52,210600,1.21824e-05
D289.59,640401,0.00730065
D289.7,241699,0.00126668
D289.81,821002,0.0020152
D289.82,110600,1.43211e-05
D289.83,240610,0.00164037
D289.84,716013,0.00527428
D289.89,131699,0.00171529
D289.9,873099,0.000780112
D290.0,220200,0.00229403
D290.1,650699,0.00157238
D290.10,320299,0.00145139
D290.20,853161,7.32042e-06
D290.21,853151,6.42323e-06
D290.3,873099,0.000780371
D290.4,140650,1.31307e-05
D290.40,140470,0.0124543
D290.41,856161,5.40347e-05
D290.42,251002,4.73137e-05
D290.8,856100,1.80487e-05
D290.9,240499,8.88157e-05
D291.0,410800,0.0063281
D291.1,730699,0.00105446
D291.2,415000,0.00145597
D291.3,320406,0.00696029
D291.8,854461,0.000169627
